Postcode,Latitude,Longitude
AB1 1PP,57.149492,-2.108435
AB1 1PQ,57.15005,-2.107478
AB1 1PR,57.149465,-2.10789
AB1 1PS,57.149663,-2.107477
AB1 1PT,57.149718,-2.106982
AB1 1PU,57.149313,-2.106964
AB1 1PX,57.149295,-2.107394
AB1 1PY,57.149186,-2.108401
AB1 1QA,57.147994,-2.10625
AB1 1QB,57.148657,-2.107227
AB1 1QD,57.147615,-2.107918
AB1 1QE,57.147758,-2.108315
AB1 1QH,57.146435,-2.111087
AB1 1QJ,57.146372,-2.111649
AB1 1QL,57.14629,-2.112541
AB1 1QN,57.145768,-2.114027
AB1 1QP,57.145739,-2.115828
AB1 1QQ,57.147055,-2.111585
AB1 1QR,57.14494,-2.105414
AB1 1QS,57.145209,-2.105696
AB1 1QT,57.145462,-2.104011
AB1 1QU,57.145804,-2.103434
AB1 1QW,57.145661,-2.102938
AB1 1QX,57.663862,-2.489733
AB1 1QZ,57.14687,-2.106511
AB1 1RA,57.147177,-2.105603
AB1 1RB,57.146432,-2.104923
AB1 1RD,57.145893,-2.104178
AB1 1RE,57.145542,-2.105449
AB1 1RF,57.145381,-2.104292
AB1 1RH,57.146161,-2.105881
AB1 1RJ,57.146934,-2.106246
AB1 1RL,57.146907,-2.105734
AB1 1RN,57.147274,-2.107156
AB1 1RP,57.147301,-2.107751
AB1 1RQ,57.146715,-2.109336
AB1 1RR,57.146617,-2.109121
AB1 1RS,57.146213,-2.10874
AB1 1RT,57.146571,-2.11046
AB1 1RU,57.146552,-2.110707
AB1 1RX,57.146465,-2.107468
AB1 1RY,57.146044,-2.106525
AB1 1SA,57.144587,-2.10857
AB1 1SB,57.144182,-2.109279
AB1 1SD,57.144622,-2.109148
AB1 1SE,57.145655,-2.110044
AB1 1SF,57.145567,-2.107399
AB1 1SH,57.145846,-2.106855
AB1 1SJ,57.145799,-2.109482
AB1 1SL,57.145539,-2.108738
AB1 1SN,57.145035,-2.10991
AB1 1SP,57.144397,-2.109759
AB1 1SQ,57.143867,-2.110038
AB1 1SR,57.144819,-2.110306
AB1 1SS,57.144882,-2.110322
AB1 1ST,57.145743,-2.112027
AB1 1SU,57.145976,-2.112193
AB1 1SY,57.146795,-2.110625
AB1 1TA,57.146787,-2.109799
AB1 1TB,57.146787,-2.109799
AB1 1TD,57.146185,-2.109781
AB1 1TE,57.145943,-2.109598
AB1 1TF,57.145969,-2.109912
AB1 1TH,57.145504,-2.107829
AB1 1TJ,57.145145,-2.106787
AB1 1TL,57.144643,-2.106438
AB1 1TN,57.144354,-2.107743
AB1 1TP,57.144273,-2.108453
AB1 1TQ,57.14385,-2.109476
